	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
PHOSPHO2	304.8039613	-0.535191546	0.170674139	-3.135750667	0.001714149	0.009183723
MSRB2	2163.294267	-0.535184431	0.244408763	-2.189710483	0.02854524	0.089049416
RP3-477M7.5	3.348571412	-0.534873178	1.643586929	-0.325430416	0.744855339	0.856918842
RP11-299G20.5	72.94509134	-0.534622558	0.309220943	-1.728933854	0.083820934	0.199928816
CTC-510F12.2	45.61180703	-0.534339531	0.382502563	-1.396956732	0.162426583	0.323097058
CMB9-22P13.1	407.0280281	-0.533939178	0.219286946	-2.434888109	0.014896395	0.05324804
TLN2	2307.630375	-0.533902154	0.136091312	-3.923117104	8.74E-05	0.000715489
CPT1C	113.168441	-0.533840788	0.260140669	-2.052123534	0.040157658	0.115348183
AMOT	2921.3299	-0.533718481	0.132984322	-4.013393994	5.99E-05	0.000513808
ANOS1	303.595724	-0.53371359	0.277935167	-1.920280889	0.054822429	0.145240265
FOXI1	108.6989421	-0.533687608	0.269854577	-1.977685956	0.047964146	0.13125152
ANXA2P2	183.9117785	-0.533559256	0.269862874	-1.977149535	0.04802473	0.131358103
RP11-45P15.4	84.02753658	-0.533367081	0.302749697	-1.76174274	0.078112773	0.189575435
CFAP69	99.86184937	-0.533365138	0.308630001	-1.728170095	0.083957733	0.200137173
QARS	12064.69175	-0.53321684	0.160420224	-3.323875432	0.000887758	0.00528693
RP11-305O6.4	70.41549799	-0.533102868	0.300730791	-1.772691339	0.076279867	0.186221638
TMEM53	258.2189417	-0.533079331	0.251030592	-2.123563219	0.033706684	0.101149206
PITPNM1	1495.83085	-0.533022291	0.131278766	-4.060232324	4.90E-05	0.000430907
SPTBN2	5800.557566	-0.533000902	0.150416716	-3.543495133	0.000394861	0.002648325
NOXRED1	160.8512246	-0.532753956	0.237002839	-2.247880063	0.024583839	0.079436284
SRD5A1	2523.470373	-0.532752765	0.142857056	-3.729271613	0.000192034	0.001416689
GOLGA8B	1022.573811	-0.532686952	0.226417073	-2.352680142	0.018638659	0.063898712
CYR61	1778.891873	-0.532634704	0.149081678	-3.572771063	0.000353224	0.00240628
RP11-711K1.7	3.388121047	-0.532613893	1.399669152	-0.380528421	0.703553203	0.831675037
RP11-3K24.1	42.24051839	-0.532490465	0.426557661	-1.248343456	0.211905307	0.389755549
GUCY1B2	638.3495133	-0.532487381	0.173189494	-3.074594005	0.002107893	0.010930596
MVB12A	1559.43308	-0.532393021	0.2275154	-2.340030702	0.019282155	0.065540435
TMEM147	3644.137882	-0.532366267	0.253900074	-2.096755065	0.036015263	0.106084498
ZNF843	26.63176111	-0.532221206	0.492038507	-1.081665762	0.279401072	0.470335789
SLC26A11	1352.7594	-0.5322151	0.140661826	-3.783649873	0.000154545	0.001170706
RHBDD2	6407.400323	-0.531535635	0.215921629	-2.461706307	0.013827785	0.050144924
TGFBR3L	86.0738014	-0.531527379	0.360608965	-1.473971616	0.140489234	0.290450458
RP11-15E18.1	451.4250401	-0.531506303	0.165030183	-3.220661169	0.001278953	0.007170047
SCARF2	52.0024723	-0.531370192	0.363400612	-1.462216008	0.143682026	0.295366657
SWSAP1	486.6587861	-0.531172073	0.218995414	-2.425494048	0.015287566	0.054352692
RP11-587D21.1	235.9438728	-0.531164834	0.357280381	-1.486689062	0.137096953	0.285772603
RP1-91J24.3	0.782330571	-0.531127927	2.876653939	-0.184633932	0.85351617	NA
RPL7P42	0.782330571	-0.531127927	2.876653939	-0.184633932	0.85351617	NA
MPP4	7.864695225	-0.53109837	1.008460744	-0.526642582	0.598441816	0.760094029
RASGRP4	4.521325932	-0.530694943	1.162177198	-0.456638578	0.647930846	0.795091129
C16orf54	16.33179779	-0.53057245	0.68648913	-0.772878151	0.439594497	0.631603381
RP11-363E7.4	844.4071436	-0.530536828	0.162938914	-3.256047413	0.001129749	0.006460078
CDK5	2626.017129	-0.530442139	0.234024861	-2.266605933	0.023414309	0.076378766
LDB3	61.18945402	-0.530307737	0.395092432	-1.342237141	0.179519117	0.346952195
COX14	2480.097014	-0.530304105	0.285131689	-1.859856782	0.062905791	0.161051028
COX6B1	11668.14572	-0.530163607	0.267426759	-1.982462825	0.047427464	0.130105432
CTC-329D1.2	76.9562212	-0.530144911	0.406604067	-1.303835733	0.192289596	0.364318178
RP11-583F2.1	32.57434551	-0.53013729	0.468167718	-1.13236618	0.257480517	0.446017963
RHBG	444.0741808	-0.530075776	0.19682327	-2.693156033	0.007077914	0.029233709
NFKBID	383.6887073	-0.530024417	0.18910516	-2.802802513	0.005066068	0.022252582
RBM24	1668.780406	-0.529825079	0.157599966	-3.361834995	0.000774264	0.004702118
RP11-144C15.2	29.55096645	-0.529601417	0.494812405	-1.070307478	0.284480929	0.475819825
RP1-261D10.2	128.3251715	-0.529271749	0.263336443	-2.00986898	0.044445058	0.123954142
ABCC5	8340.474319	-0.529205608	0.187557989	-2.82155727	0.00477911	0.021253761
LRAT	34.98375045	-0.529032748	0.510492786	-1.036317777	0.300053916	0.493439152
CHMP4C	2906.012803	-0.528893625	0.139121208	-3.801675052	0.000143721	0.00109865
TAF10	1547.046988	-0.528809507	0.253637144	-2.084905617	0.037077869	0.108569221
RP11-371E8.2	1.648081142	-0.528701017	1.720686499	-0.307261676	0.758644204	NA
ECI1	4527.923108	-0.528656111	0.233200604	-2.266958586	0.023392756	0.076345125
VPS37D	148.1431481	-0.528558409	0.275976438	-1.915230199	0.055463153	0.146458424
ZNF440	1452.055574	-0.52828794	0.151219188	-3.49352451	0.000476689	0.00311877
TEX22	74.47022104	-0.527968254	0.351175693	-1.503430519	0.132728062	0.279393031
STARD7-AS1	239.7908229	-0.527761606	0.190781209	-2.766318588	0.005669312	0.024416547
PRKAG2	2134.989971	-0.527628417	0.117703177	-4.482703272	7.37E-06	7.95E-05
CCL28	1089.086374	-0.527624266	0.147476503	-3.57768361	0.000346653	0.002369493
NSUN5P1	2790.213114	-0.527587156	0.117495217	-4.490286233	7.11E-06	7.70E-05
RPL6	133567.6621	-0.52756987	0.195533221	-2.698108631	0.006973468	0.028905555
CARD8-AS1	224.36722	-0.527441854	0.190442711	-2.769556533	0.005613266	0.024213816
RP11-4L24.3	12.98958575	-0.527394321	0.690800655	-0.763453707	0.44519286	0.636221832
RP11-2E11.6	4.594392116	-0.527333349	1.280100168	-0.411946941	0.680378314	0.816930243
RP11-995C19.2	0.839718663	-0.527203633	2.511629626	-0.209905007	0.833741815	NA
RUNX3	7.039670413	-0.527203163	1.103599355	-0.47771246	0.632854875	0.784639243
AP001062.9	7.081360955	-0.52716786	0.931906234	-0.565687663	0.571606123	0.740177356
TMEM216	1585.434996	-0.527147266	0.190198772	-2.77155978	0.005578843	0.024090998
MT-CYB	362472.341	-0.527086501	0.161184694	-3.270077872	0.001075179	0.006213564
RBM34	59.09933321	-0.526936002	0.371350797	-1.418970975	0.155907478	0.313519004
SPR	4762.376822	-0.526672931	0.239197995	-2.201828365	0.027677435	0.086963343
RP11-592N21.1	44.88450212	-0.52666155	0.455379948	-1.156532149	0.247463558	0.434209953
RNU6-1140P	4.265159098	-0.526654794	1.503932304	-0.350185173	0.726199733	0.845070888
PPFIBP2	505.5167895	-0.526628904	0.168151612	-3.131869491	0.001736971	0.009277341
ARRDC2	1518.695931	-0.526608498	0.1502862	-3.504037622	0.000458261	0.003015258
RP13-266I11.1	1.679437326	-0.526552023	1.973815531	-0.266768608	0.789647325	NA
AASS	55.35468845	-0.526433899	0.356946958	-1.474823886	0.140259898	0.290198661
SKIDA1	304.5121103	-0.526278368	0.178163942	-2.953899435	0.003137862	0.015099292
APOBR	132.2086268	-0.526217703	0.28859521	-1.823376425	0.068246398	0.171559055
TBC1D17	3619.936953	-0.526153118	0.158829292	-3.312695743	0.000924014	0.005471986
EFCAB14-AS1	5.64118567	-0.526109282	1.108495572	-0.474615591	0.635060991	0.786050213
ZBTB22	2356.572978	-0.526098568	0.150730715	-3.490320921	0.000482441	0.003149612
GBP1P1	0.865750571	-0.526093955	2.810285304	-0.187203041	0.85150144	NA
RP11-357D18.1	0.865750571	-0.526093955	2.810285304	-0.187203041	0.85150144	NA
EFNB3	798.8436267	-0.525881067	0.142919859	-3.679552092	0.000233644	0.001680272
C7orf61	16.44619017	-0.525850543	0.601363659	-0.874430197	0.381884018	0.577977666
TANK	4197.817591	-0.525632495	0.127318826	-4.12847426	3.65E-05	0.000332785
RP3-523E19.2	30.5170649	-0.525464167	0.582449864	-0.902162057	0.366970787	0.56342474
RPSAP17	8.463523311	-0.525432763	0.965430735	-0.544246981	0.586271526	0.751117867
ADGRB1	344.768384	-0.525406602	0.172988448	-3.037235201	0.002387591	0.012075183
KB-1208A12.3	238.4024298	-0.525398171	0.206936981	-2.538928369	0.011119259	0.042128286
SUMO2	19892.54826	-0.52533483	0.152793299	-3.438205954	0.000585582	0.003723867
MMAA	279.819506	-0.525253424	0.18926971	-2.775158389	0.005517483	0.023842988
RP11-888D10.4	57.50854978	-0.525202559	0.375185489	-1.399847741	0.161558918	0.321872016
CKAP4	8464.636084	-0.525198954	0.129014277	-4.070859188	4.68E-05	0.000414411
RP11-242D8.1	521.0094831	-0.525197223	0.19189397	-2.736913631	0.006201857	0.02628852
CCDC30	121.889778	-0.525135308	0.235413948	-2.23068902	0.025701735	0.082196607
CTD-3088G3.8	22.0397731	-0.524737425	0.542444364	-0.967357133	0.333365532	0.529278555
RP1-170O19.14	4.084820677	-0.524701338	1.100441736	-0.47680974	0.633497609	0.784946198
CTD-2147F2.2	2.101025421	-0.524679619	1.748215347	-0.300122991	0.764083343	NA
RNFT1P3	8.676221461	-0.524518382	0.803686605	-0.652640443	0.513988106	0.693161962
CCT6P3	378.8173711	-0.524446568	0.17966	-2.919105908	0.003510369	0.016558238
RP4-769N13.7	3.384733981	-0.524415715	1.640175907	-0.319731385	0.749171966	0.859859571
NPIPA5	97.81868038	-0.524281575	0.284385083	-1.843562148	0.065246977	0.165723548
AKAP6	27.63932008	-0.52425268	0.666175225	-0.786959137	0.431305787	0.624199532
CH17-264B6.3	4.169052184	-0.524096744	1.132748356	-0.462677117	0.643595823	0.791491197
AUP1	11346.37934	-0.523885455	0.211535388	-2.4765854	0.013264589	0.048501932
SIGIRR	2428.115895	-0.523879531	0.184991943	-2.831904573	0.004627166	0.020737284
C2orf68	5478.661452	-0.523628935	0.153254193	-3.416734807	0.00063377	0.003976249
RP11-73M18.8	896.2934808	-0.523601348	0.169649023	-3.086379982	0.002026097	0.010563718
GTF2H5	1299.336045	-0.52320738	0.272375475	-1.920904882	0.0547437	0.145134453
PCDHA8	38.53469199	-0.523169616	0.371497091	-1.408273788	0.159050014	0.318204848
ELMOD3	1650.674381	-0.523086682	0.121277977	-4.313121761	1.61E-05	0.000160345
TTC21A	287.7412401	-0.522925631	0.198513076	-2.634212522	0.008433268	0.033724742
GBAP1	1193.987373	-0.522874793	0.131117738	-3.987826515	6.67E-05	0.000566827
CH17-340M24.3	931.4785458	-0.522859778	0.237933847	-2.197500628	0.027984712	0.087740344
NSA2	11560.71189	-0.522830677	0.18584403	-2.81327668	0.004903944	0.02170138
BACH2	13.7029281	-0.52265987	0.690750713	-0.75665484	0.449256677	0.639733079
CTAGE8	70.6122905	-0.522561282	0.409574894	-1.275862583	0.2020041	0.377578048
TMEM242	790.4631372	-0.522507543	0.177104292	-2.950281654	0.003174844	0.015234984
IQCH-AS1	671.4223165	-0.522441216	0.159864222	-3.268030889	0.001082985	0.00624826
RHBDL1	400.1874859	-0.522342793	0.194406217	-2.686862595	0.007212662	0.02968424
RP11-16F15.2	388.1649681	-0.522299192	0.383761087	-1.361000917	0.1735134	0.338551171
C11orf1	506.944786	-0.52224431	0.230680874	-2.263925487	0.023578698	0.076770648
RP11-486B10.4	69.14447466	-0.522192505	0.320438942	-1.629616241	0.10318263	0.232846436
IMMP1LP1	2.118863878	-0.522132405	1.908931381	-0.273520782	0.784452919	NA
B2M	15409.09497	-0.522072897	0.159425421	-3.274715508	0.001057684	0.006124007
CCDC64B	1964.871162	-0.521989707	0.128031668	-4.077035904	4.56E-05	0.000404738
WDR45	2278.259531	-0.521910857	0.174545388	-2.990115429	0.00278872	0.013757234
HERPUD1	2720.272666	-0.521776846	0.112878985	-4.622444523	3.79E-06	4.40E-05
KCNK1	2601.572684	-0.521700877	0.114884381	-4.541094896	5.60E-06	6.23E-05
SRRM5	81.64234136	-0.521649453	0.296254504	-1.760815265	0.078269675	0.189880488
HHIP	2.838846699	-0.52139059	1.776630136	-0.293471657	0.769161661	0.871447385
ZFAND6	9121.460603	-0.521354478	0.131716343	-3.958160905	7.55E-05	0.000631211
PYCARD	639.9441888	-0.521299413	0.320764261	-1.625179226	0.104124375	0.234231621
RPL39P18	4.504766298	-0.521154734	1.142658126	-0.456089815	0.648325394	0.795374344
RP4-613A2.1	2.50529295	-0.521094926	1.554208182	-0.335280005	0.737413876	0.851787557
ZNF250	1149.238735	-0.52075114	0.136624765	-3.811542816	0.000138102	0.001061376
CTD-2287O16.4	6.095044002	-0.520721797	1.225282314	-0.424981076	0.67085047	0.810077293
SSU72	9527.346757	-0.520720297	0.192039933	-2.711520927	0.006697531	0.02796703
RN7SKP198	1.215793919	-0.520612494	2.56406149	-0.203042125	0.839102107	NA
PNPLA3	23.44917673	-0.520517901	0.558513015	-0.931970941	0.351351543	0.54829579
XIRP2	2.439538675	-0.520319467	2.149752763	-0.242036887	0.808751581	0.89625101
SMIM8	605.8991704	-0.520174442	0.194467953	-2.674859445	0.007476059	0.030581701
CTB-147C22.6	7.867368388	-0.51983316	1.105468256	-0.47023798	0.638185002	0.788625743
RP1-68D18.2	8.058252662	-0.519831718	0.819805156	-0.634091789	0.526020921	0.703291664
A1BG	10.9022316	-0.519722773	0.739840888	-0.702479116	0.482380421	0.668097571
C1QTNF4	7.883760656	-0.519379444	0.865539059	-0.600064709	0.548463111	0.722145574
MIR1302-8	0.81152639	-0.519346215	2.851864014	-0.182107636	0.855498256	NA
NDUFAF4P1	0.81152639	-0.519346215	2.851864014	-0.182107636	0.855498256	NA
SLC4A4	1.62305278	-0.519316046	2.307067505	-0.225097898	0.821903116	NA
HSD11B1L	63.124502	-0.519298609	0.336372133	-1.543821734	0.122631525	0.263513467
OSR1	4.920787503	-0.519180821	1.166088924	-0.445232615	0.656151659	0.80092403
BTF3	43864.22119	-0.519068525	0.203604036	-2.549401945	0.010790785	0.0410889
KLC4	1424.945065	-0.518948632	0.149665244	-3.467395754	0.000525528	0.003387198
OSER1-AS1	325.4678179	-0.518876802	0.202427561	-2.563271521	0.010369092	0.039820331
PDCD7	4109.121846	-0.518703023	0.113094481	-4.586457443	4.51E-06	5.15E-05
KRTAP5-1	32.37769258	-0.518543182	0.42929993	-1.207880892	0.22709308	0.409138171
DGAT2	1083.226808	-0.518543018	0.134985301	-3.841477661	0.000122296	0.000956855
VSIG10	6077.135028	-0.518523356	0.127728294	-4.059580999	4.92E-05	0.000431954
ERAP2	28.46817279	-0.518518188	0.562525316	-0.921768626	0.356649276	0.553491233
POLR2J3	408.903373	-0.518455319	0.176555187	-2.936505727	0.003319327	0.015818912
ZNF230	595.0654865	-0.518422621	0.152075848	-3.408974058	0.000652077	0.004076277
RP13-395E19.2	6.628244369	-0.518189662	1.181725322	-0.438502631	0.661021963	0.803885934
RP5-1096D14.6	1.587478564	-0.51812262	2.044955396	-0.25336622	0.799985228	NA
AC097523.1	16.60654526	-0.518118667	0.557168827	-0.929913236	0.352416009	0.549590651
ETHE1	446.1568487	-0.517866303	0.277231323	-1.867993475	0.06176298	0.158878905
CDKL1	21.59426359	-0.517581145	0.498905467	-1.037433299	0.299533966	0.492784304
RP11-128L5.1	9.602691827	-0.5174176	0.941066674	-0.549820342	0.582442605	0.748155284
TMEM136	398.7960509	-0.517394924	0.188875813	-2.739339226	0.006156282	0.026147509
GPS2P1	2.456393045	-0.517331035	1.586301338	-0.326124062	0.744330493	0.856802083
CERS1	124.8334903	-0.51723269	0.290034532	-1.783348647	0.074529567	0.18316384
EXTL2	338.4267355	-0.517032342	0.182957241	-2.825973658	0.004713714	0.021028152
RP11-108K3.2	109.1320416	-0.51688718	0.239435565	-2.158773613	0.030867735	0.094462425
RP11-567M21.3	4.206371572	-0.516774159	1.59658075	-0.323675554	0.74618368	0.857756277
CLTA	11231.79723	-0.516746987	0.201702652	-2.561924606	0.010409391	0.039938156
RP11-359B12.2	285.1762971	-0.516670171	0.178154243	-2.900128345	0.003730099	0.017384222
DLL3	1.603156656	-0.516648815	2.381531555	-0.216939731	0.828255314	NA
CERS4	1047.788567	-0.516584868	0.194277398	-2.659006525	0.007837145	0.03179634
GS1-124K5.11	435.3285342	-0.51654206	0.215166251	-2.400664871	0.016365317	0.057434694
PLXNB1	6979.264551	-0.516385308	0.115347505	-4.476779162	7.58E-06	8.15E-05
RP4-800M22.1	8.684391905	-0.515838182	1.268324399	-0.406708396	0.684222173	0.81937967
LINC00921	56.51706631	-0.51582816	0.360622145	-1.430384038	0.152606827	0.308747867
UQCR11	511.6054865	-0.515728921	0.237308488	-2.173242621	0.029762062	0.091842621
NFKBIE	420.836248	-0.515688496	0.232457044	-2.218424903	0.026525875	0.0841029
SYNE4	1606.110778	-0.51568162	0.162141886	-3.18043433	0.001470545	0.008072226
RANBP3L	4.564557795	-0.515600865	1.223203158	-0.421516951	0.673377636	0.81167606
CTD-2240E14.4	2.444690371	-0.51559666	1.331366107	-0.387268879	0.698557162	0.82845782
MIR106B	18.51212306	-0.515526722	0.557646056	-0.924469412	0.35524197	0.552118679
SLC46A2	7.833096546	-0.51515447	1.174634948	-0.438565591	0.660976334	0.803885934
SLC28A2	4.014330478	-0.515042044	1.099336193	-0.468502763	0.639425096	0.789427905
SLC25A21-AS1	304.5185847	-0.514982848	0.190020654	-2.710141436	0.006725452	0.028056215
FA2H	832.2607689	-0.514948936	0.150349134	-3.42502096	0.000614752	0.00388293
RP5-965G21.6	39.37800594	-0.514593794	0.404527915	-1.272084756	0.203343007	0.379117784
RP1-310O13.7	7.917151381	-0.514514843	1.277135292	-0.402866357	0.687046542	0.820880046
RPSAP54	178.6966243	-0.514335768	0.234706598	-2.191398848	0.028422942	0.08885054
SNX16	2147.292117	-0.514327042	0.206375437	-2.492191177	0.012695768	0.046837221
FAM90A1	3.877497805	-0.514306973	1.89779614	-0.271002223	0.786389322	0.882203896
IL27RA	1285.082242	-0.514261907	0.13627923	-3.77358976	0.000160915	0.001215171
CTD-3203P2.1	26.68622672	-0.51411671	0.591737583	-0.868825515	0.384942575	0.580667747
ERCC5	1158.293643	-0.514054094	0.196802207	-2.612034201	0.009000525	0.035531006
GMPR2	7718.604672	-0.513835361	0.165893351	-3.097383699	0.00195237	0.010225416
RAB40B	989.2466582	-0.513771901	0.174857465	-2.938232589	0.003300893	0.015743418
TMPRSS11E	87.35228111	-0.513680655	0.308066956	-1.667431853	0.095428565	0.219756218
FTH1P7	54.6482526	-0.513625359	0.439650726	-1.168257729	0.242702821	0.428083427
RP9	1653.645583	-0.513512543	0.209381995	-2.452515285	0.014186135	0.051169535
TMEM120A	2095.116385	-0.513468897	0.172527259	-2.976160989	0.002918816	0.014254246
UQCRBP1	22.94186048	-0.5134581	0.537928905	-0.95450922	0.339825944	0.536698937
LRRC73	130.9902321	-0.513452702	0.31868662	-1.611152365	0.107146517	0.239169147
AC010524.4	6.490204454	-0.513402308	1.135792625	-0.452021167	0.651253734	0.797337119
FTH1P2	357.1162122	-0.513018548	0.29772402	-1.723134558	0.084864195	0.201625106
PPM1M	407.9473048	-0.51300257	0.202243937	-2.536553513	0.011194963	0.042355643
ANXA2R	205.7010037	-0.512979731	0.256655399	-1.998710071	0.045639733	0.126458249
GRB7	567.8205987	-0.512811828	0.179975531	-2.849341944	0.004380977	0.019787316
NDUFS5	10295.5287	-0.512799793	0.258189687	-1.986135846	0.047018242	0.129187128
OGDHL	310.8604917	-0.512760288	0.228240631	-2.246577597	0.024667035	0.079662715
ZNF605	770.2104306	-0.512644426	0.252966601	-2.026530078	0.042710494	0.120572227
TRPV3	405.9831579	-0.512597093	0.184252257	-2.782039692	0.005401843	0.023421481
AC009120.4	2.868438832	-0.512517443	1.662381973	-0.308303056	0.757851741	0.864336779
PTBP2	1406.047902	-0.512411569	0.183633902	-2.790397426	0.005264338	0.022965638
KRT32	16.70863495	-0.51240858	0.576836936	-0.888307505	0.374375364	0.57091157
CEACAM21	6.220762353	-0.512245608	0.954414637	-0.53671181	0.591466697	0.754950379
GRB14	924.7768279	-0.51218438	0.179722584	-2.849860978	0.004373834	0.019772172
AD000684.2	77.41764071	-0.512089352	0.372581692	-1.374435092	0.169306648	0.332735928
TMEM62	742.6803361	-0.512004511	0.13658061	-3.748735001	0.000177729	0.001321261
HIRA	795.715717	-0.511831869	0.181824588	-2.814976089	0.004878086	0.021614524
SH2D3A	698.1942721	-0.511175684	0.174050857	-2.936932884	0.003314758	0.015803341
CTD-3074O7.5	208.011474	-0.511168326	0.326261695	-1.566743306	0.117174704	0.254745735
AKR1E2	1187.152161	-0.51116558	0.184096955	-2.776610734	0.005492892	0.023753628
AP2S1	12326.71291	-0.511110039	0.276474624	-1.848668898	0.064505637	0.164177731
SLC2A10	6667.63845	-0.511018954	0.138012025	-3.702713261	0.000213306	0.001551932
CTD-3028N15.3	1.222933248	-0.510988638	2.960835653	-0.172582574	0.86297955	NA
SUPT7L	5854.831438	-0.510703491	0.112887307	-4.524011654	6.07E-06	6.71E-05
BCL6	1405.197452	-0.510500922	0.149763655	-3.408710366	0.000652707	0.004079169
RP11-139H15.6	5.903890242	-0.510480157	1.107628003	-0.460876896	0.644886928	0.792716779
TRIM2	935.0238784	-0.510343793	0.292526026	-1.744609875	0.081052801	0.194915172
SKP1P1	116.6587045	-0.510151983	0.261372036	-1.951823122	0.050959208	0.137418979
RP11-308D16.2	159.9918493	-0.509671699	0.22507623	-2.264440356	0.023547044	0.076697553
DDX11L2	128.2065058	-0.509632447	0.245329976	-2.077334601	0.037770688	0.110109098
C12orf76	764.5969534	-0.509576389	0.154071009	-3.307412564	0.000941621	0.005557935
CA3-AS1	297.3034014	-0.509498183	0.187054085	-2.723801426	0.00645353	0.027148869
MAP2K2	11866.61081	-0.509480487	0.203093178	-2.508604633	0.012120906	0.045162371
PPL	8195.139015	-0.509296704	0.122594523	-4.154318583	3.26E-05	0.000301963
UBALD1	1950.213302	-0.509284902	0.189641183	-2.685518488	0.007241737	0.029788757
RP11-950C14.10	8.462073727	-0.509267552	0.881621008	-0.577649066	0.563501074	0.733475564
RP5-881P19.7	4.876623948	-0.509243788	1.149239122	-0.443113864	0.657683378	0.802049795
PACS1	13999.52093	-0.509225104	0.164356079	-3.098304042	0.001946316	0.010209123
RP11-400N13.2	0.773791808	-0.509157898	2.883895188	-0.176552151	0.859860182	NA
RBMXP4	0.773791808	-0.509157898	2.883895188	-0.176552151	0.859860182	NA
RP11-326E22.1	0.773791808	-0.509157898	2.883895188	-0.176552151	0.859860182	NA
RNU6-903P	0.773791808	-0.509157898	2.883895188	-0.176552151	0.859860182	NA
RNA5SP465	1.547583617	-0.509148162	2.323436479	-0.219135822	0.826544247	NA
WWOX	2772.233348	-0.509098464	0.130298598	-3.907167623	9.34E-05	0.000757999
RPSAP45	2.807247901	-0.508905935	1.360364925	-0.374095161	0.708333519	0.834375445
CYP2S1	19.85849411	-0.508866712	0.511189724	-0.995455676	0.319514692	0.514599394
STX4	5325.088854	-0.508808447	0.163585458	-3.110352553	0.001868642	0.009863471
LAMTOR2	3452.500472	-0.508634273	0.261073035	-1.948245144	0.051385637	0.138338498
RNU6-1054P	0.815501808	-0.508550398	2.526059814	-0.201321598	0.840447116	NA
RPS3AP49	0.815501808	-0.508550398	2.526059814	-0.201321598	0.840447116	NA
C11orf95	558.0610063	-0.50841952	0.168395065	-3.01920677	0.002534375	0.012719535
ZNF121	3089.96296	-0.508376422	0.151981519	-3.344988432	0.00082286	0.004961266
MTRNR2L2	0.7894699	-0.508076287	2.542929771	-0.199799575	0.841637334	NA
SDCBPP3	0.7894699	-0.508076287	2.542929771	-0.199799575	0.841637334	NA
ATP13A2	2894.363615	-0.508006963	0.144685596	-3.511109453	0.000446241	0.002945746
DYNC2LI1	1334.729619	-0.50797164	0.145232383	-3.497647222	0.000469382	0.003076761
RP11-122M14.1	1.6623598	-0.507866572	1.719774156	-0.295310039	0.767757049	NA
SDCBP2	126.5982126	-0.507863027	0.296029378	-1.715583198	0.086238356	0.204011758
TIPARP-AS1	142.0306889	-0.507849761	0.364464688	-1.393412799	0.163494997	0.324472005
PIP5K1B	633.9665402	-0.507797179	0.212937018	-2.384729459	0.017091685	0.059459773
DNAL4	962.1471496	-0.507619139	0.171716088	-2.956153649	0.003115019	0.015004233
CTD-2547H18.1	5.693940809	-0.507453594	0.964070803	-0.526365482	0.598634294	0.760219225
ARHGAP5	4785.612959	-0.507381236	0.305156891	-1.662689755	0.096374554	0.221433531
OTUD5	4747.147596	-0.507326432	0.154567574	-3.282230665	0.001029893	0.005998078
RP11-278C7.5	22.0596158	-0.50700235	0.582343163	-0.870624715	0.383959097	0.579686102
B3GNT3	1020.794176	-0.50676542	0.166880681	-3.036693143	0.002391888	0.012091881
RP11-124N19.4	50.33250256	-0.506698428	0.383451335	-1.321415216	0.186362955	0.35668774
RP11-263K19.4	68.57760723	-0.506517014	0.338216036	-1.497613834	0.134233611	0.28164125
TRAF3IP2-AS1	102.3716332	-0.506477701	0.3575271	-1.416613458	0.156595972	0.314512882
SERPIND1	4.557003119	-0.506288855	1.090018719	-0.464477212	0.642305883	0.790806855
TXNDC5	92.11526995	-0.506276197	0.402002541	-1.259385563	0.207891102	0.384703085
TRIM64FP	2.750620741	-0.506275668	1.766333453	-0.286625194	0.774399322	0.874706382
NPM1P43	2.101786352	-0.506219438	1.872765528	-0.270305829	0.786924981	NA
ABCC6	35.61634768	-0.506154568	0.502017607	-1.008240669	0.313338938	0.507687652
SP9	17.83544225	-0.506068352	0.63044236	-0.802719462	0.422136901	0.615938385
AC073333.1	1.594617893	-0.506061578	2.079700254	-0.243333902	0.807746743	NA
MCCC1-AS1	23.16238434	-0.506022336	0.478856031	-1.056731675	0.290634065	0.483017785
ANKS3	945.5285002	-0.505988297	0.172458597	-2.933969697	0.003346569	0.015901248
CTD-2270P14.5	239.9854322	-0.505975178	0.178639974	-2.832373778	0.00462038	0.020710697
HLA-DPA1	4.101553316	-0.505919797	1.639106671	-0.30865581	0.757583362	0.86423362
ISCU	5626.791245	-0.505862656	0.165160573	-3.062853591	0.002192373	0.011262576
RP11-326C3.2	9.833573865	-0.505725499	0.734542588	-0.688490371	0.491144032	0.675012903
RP5-1112D6.8	51.85578812	-0.505700642	0.361593452	-1.398533737	0.161952849	0.322498105
RP11-408P14.1	615.5981774	-0.505397956	0.19877604	-2.542549675	0.011004696	0.041778965
SLC22A23	1450.122322	-0.505397264	0.160771465	-3.143575658	0.001668973	0.008983305
CTB-49A3.2	8.447968074	-0.505380946	0.766166656	-0.659622736	0.50949596	0.689722346
TRIM13	1496.945334	-0.505377599	0.135443691	-3.731274556	0.000190513	0.001406753
ARHGAP36	2817.630104	-0.505171158	0.143315094	-3.524898488	0.000423645	0.002813411
TAGLN2P1	2.815218196	-0.505064262	1.68009301	-0.300616846	0.763706684	0.868119847
RPSAP18	12.9247151	-0.505042103	0.629502393	-0.80228782	0.422386487	0.616026796
JTB	12561.45499	-0.50498609	0.239610125	-2.107532347	0.035071461	0.104023632
PSMA3-AS1	5352.829999	-0.504825151	0.118102792	-4.274455675	1.92E-05	0.000187256
LRRC23	601.4351404	-0.504813858	0.220011119	-2.294492486	0.021762226	0.072162401
MAPK15	603.9411867	-0.504616595	0.17625903	-2.862926208	0.004197483	0.019100632
